locus_name,Col_reads_Col_Cvi,Cvi_reads_Col_Cvi,Col_reads_Cvi_Col,Cvi_reads_Cvi_Col
AT1G06930,0,2,2,7
AT1G06950,1211,1138,2104,2012
AT1G06970,3,1,2,7
AT1G06980,16,18,28,21
AT1G07000,10,7,19,7
AT1G07010,20,14,43,42
AT1G07020,6,5,16,13
AT1G07030,66,89,80,90
AT1G07040,105,116,172,142
AT1G07070,6,2,14,7
AT1G07080,382,320,502,466
AT1G07090,2,1,1,13
AT1G07110,66,59,133,145
AT1G07135,580,385,445,309
AT1G07140,950,596,1151,747
AT1G07150,30,20,66,67
AT1G07170,5,14,19,15
AT1G07200,61,66,110,106
AT1G07210,152,138,130,134
AT1G07220,50,40,61,57
AT1G07230,61,43,74,67
AT1G07240,3,11,9,13
AT1G07250,89,85,174,114
AT1G07260,9,3,17,10
AT1G07270,32,42,25,52
AT1G07280,19,10,23,35
AT1G07300,8,12,26,38
AT1G07310,68,70,113,124
AT1G07320,2031,1778,3551,3025
AT1G07350,376,320,773,783
AT1G07360,524,469,651,662
AT1G07380,41,54,93,91
AT1G07400,131,133,431,473
AT1G07410,1,3,5,5
AT1G07420,67,46,75,68
AT1G07440,8,9,21,19
AT1G07450,5,5,9,6
AT1G07470,80,42,101,56
AT1G07480,51,48,72,58
AT1G07500,26,21,17,8
AT1G07510,102,80,123,128
AT1G07520,149,108,231,217
AT1G07530,93,71,130,135
AT1G07570,308,337,524,562
AT1G07590,3,7,1,36
AT1G07615,59,55,88,85
AT1G07630,24,25,51,49
AT1G07640,12,6,11,9
AT1G07650,14,12,49,42
AT1G07660,345,718,499,910
AT1G07670,672,522,1037,877
AT1G07680,1,1,9,7
AT1G07690,3,0,1,17
AT1G07700,20,2,36,7
AT1G07705,93,120,143,160
AT1G07710,7,2,12,16
AT1G07720,14,13,23,45
AT1G07740,16,10,22,18
AT1G07745,14,6,20,19
AT1G07750,192,4,198,11
AT1G07780,14,26,19,36
AT1G07790,798,1619,627,1487
AT1G07810,98,94,112,104
AT1G07820,298,240,308,290
AT1G07830,238,224,320,407
AT1G07840,26,10,27,14
AT1G07850,5,7,1,30
AT1G07860,3,5,14,10
AT1G07870,405,353,497,461
AT1G07890,632,639,600,789
AT1G07910,17,50,50,59
AT1G07920,160,145,506,472
AT1G07930,618,511,477,494
AT1G07940,4246,4514,5675,6409
AT1G07950,47,22,63,47
AT1G07960,38,28,56,29
AT1G07970,114,110,131,123
AT1G07980,41,51,44,74
AT1G07990,221,211,260,264
AT1G08000,248,216,229,213
AT1G08010,131,77,130,78
AT1G08030,27,12,21,16
AT1G08035,13,7,19,8
AT1G08050,38,13,36,56
AT1G08060,107,151,143,191
AT1G08070,2,7,9,9
AT1G08110,403,269,510,309
AT1G08125,53,29,63,59
AT1G08130,1040,962,1142,1339
AT1G08190,343,283,530,476
AT1G08200,963,890,1345,1220
AT1G08210,6,3,11,3
AT1G08220,75,66,105,72
AT1G08250,8,2,19,16
AT1G08260,90,93,137,122
AT1G08270,8,20,23,25
AT1G08280,101,79,148,132
AT1G08300,30,25,29,41
AT1G08350,26,17,39,24
AT1G08380,1186,1564,1511,1990
AT1G08390,21,14,36,36
AT1G08400,5,2,3,7
AT1G08420,23,39,50,74
AT1G08460,55,45,107,81
AT1G08465,8,6,10,9
AT1G08490,57,51,78,84
AT1G08500,8,11,9,4
AT1G08510,27,26,7,10
AT1G08520,4,1,8,8
AT1G08530,90,93,100,98
AT1G08540,1085,753,1654,1283
AT1G08550,82,84,181,175
AT1G08560,4004,2890,4979,3802
AT1G08570,462,276,990,751
AT1G08580,891,850,910,883
AT1G08590,10,14,10,16
AT1G08600,311,339,447,392
AT1G08610,110,80,144,79
AT1G08620,66,88,111,124
AT1G08630,1285,755,1763,1238
AT1G08640,425,301,515,489
AT1G08650,1667,1101,2460,1873
AT1G08660,45,40,94,72
AT1G08680,88,82,145,155
AT1G08710,7,5,16,26
AT1G08720,42,52,62,86
AT1G08750,20,13,36,31
AT1G08760,17,9,29,19
AT1G08770,15,8,18,7
AT1G08780,24,34,48,59
AT1G08800,1,3,7,7
AT1G08830,174,148,357,344
AT1G08840,30,30,40,62
AT1G08845,5,7,15,22
AT1G08860,56,44,94,110
AT1G08880,630,941,1073,1476
AT1G08900,5,3,10,5
AT1G08910,414,107,482,131
AT1G08920,3,4,5,4
AT1G08930,22,46,76,95
AT1G08960,1,1,4,10
AT1G08970,85,104,72,77
AT1G09000,28,18,33,35
AT1G09010,260,193,463,364
AT1G09020,35,61,61,90
AT1G09040,4,1,8,0
AT1G09060,116,108,141,103
AT1G09070,3682,2977,3900,3466
AT1G09130,252,192,174,162
AT1G09140,221,199,356,345
AT1G09150,119,124,106,117
AT1G09157,4,2,6,9
AT1G09160,253,222,326,277
AT1G09180,30,67,58,110
AT1G09190,216,110,314,203
AT1G09195,57,48,170,140
AT1G09200,5571,1256,4933,1408
AT1G09210,934,1028,1086,1388
AT1G09220,57,48,69,59
AT1G09230,233,183,294,309
AT1G09310,13,10,9,6
AT1G09320,8,6,3,8
AT1G09370,1,0,8,3
AT1G09380,3,2,11,14
AT1G09390,8,12,17,30
AT1G09400,3,6,23,26
AT1G09410,4,5,5,2
AT1G09415,4,6,15,18
AT1G09420,192,181,297,403
AT1G09430,48,48,60,70
AT1G09450,30,40,29,55
AT1G09460,42,23,65,80
AT1G09470,66,65,87,98
AT1G09490,193,160,250,233
AT1G09500,261,308,236,272
AT1G09520,48,47,87,78
AT1G09530,129,145,198,234
AT1G09550,26,18,9,53
AT1G09560,96,77,78,54
AT1G09570,572,466,882,769
AT1G09575,69,87,84,144
AT1G09580,366,203,467,230
AT1G09590,5454,3894,3607,3597
AT1G09600,38,18,31,32
AT1G09620,491,575,663,803
AT1G09640,466,434,678,607
AT1G09645,133,111,206,187
AT1G09650,9,14,27,15
AT1G09680,75,31,73,48
AT1G09700,79,39,101,74
AT1G09710,29,14,30,32
AT1G09730,138,104,196,140
AT1G09750,635,486,954,835
AT1G09760,1231,917,1600,1277
AT1G09770,1458,1327,2764,2316
AT1G09780,142,119,96,110
AT1G09795,389,255,500,404
AT1G09800,67,48,58,49
AT1G09810,70,48,72,65
AT1G09815,324,274,368,340
AT1G09820,147,111,232,197
AT1G09830,783,506,971,637
AT1G09840,164,187,255,258
AT1G09870,346,342,386,424
AT1G09880,4,13,3,11
AT1G09900,519,278,622,351
AT1G09910,108,77,186,117
AT1G09920,71,77,103,106
AT1G09930,5,1,8,1
AT1G09932,13,0,25,0
AT1G09940,322,294,466,448
AT1G09950,99,93,35,57
AT1G09960,416,363,644,566
AT1G09970,25,16,53,34
AT1G09980,20,19,30,32
AT1G09995,131,16,121,13
AT1G10020,68,52,106,97
AT1G10030,45,43,91,95
AT1G10040,2,0,6,6
AT1G10050,39,32,44,35
AT1G10060,88,82,117,111
AT1G10070,7,5,67,100
AT1G10090,240,96,318,184
AT1G10095,97,96,107,118
AT1G10110,8,137,4,209
AT1G10120,196,171,294,310
AT1G10130,150,140,295,258
AT1G10150,43,18,50,49
AT1G10160,47,11,54,20
AT1G10170,340,329,542,548
AT1G10180,333,288,387,384
AT1G10200,546,568,617,759
AT1G10210,25,28,18,22
AT1G10220,0,2,3,9
AT1G10230,123,129,83,64
AT1G10240,25,39,39,42
AT1G10270,140,151,129,149
AT1G10290,569,546,783,740
AT1G10300,17,4,31,9
AT1G10310,90,65,106,72
AT1G10320,59,59,86,92
AT1G10330,1,5,6,6
AT1G10350,1,0,10,6
AT1G10360,9,11,14,19
AT1G10390,296,319,381,361
AT1G10410,16,26,44,45
AT1G10417,8,14,18,16
AT1G10430,38,51,54,70
AT1G10450,33,22,33,28
AT1G10470,2,2,4,4
AT1G10490,97,77,93,113
AT1G10500,45,41,57,78
AT1G10510,132,126,145,132
AT1G10520,14,19,26,27
AT1G10522,900,559,1225,825
AT1G10540,14,8,13,31
AT1G10560,3,6,5,0
AT1G10570,26,26,65,63
AT1G10580,27,29,32,39
AT1G10590,2999,2494,3782,3371
AT1G10600,97,113,94,188
AT1G10610,22,2,44,20
AT1G10630,439,461,484,553
AT1G10640,468,471,678,669
AT1G10650,243,231,215,229
AT1G10657,46,58,87,95
AT1G10670,2,2,6,5
AT1G10680,2,0,4,6
AT1G10682,6,3,36,40
AT1G10690,9,17,26,25
AT1G10700,64,76,145,141
AT1G10720,39,29,53,43
AT1G10730,3,5,7,14
AT1G10740,52,46,88,94
AT1G10750,85,118,156,142
AT1G10780,84,91,108,96
AT1G10820,14,15,29,19
AT1G10865,10,7,14,10
AT1G10880,0,3,2,6
AT1G10900,50,32,62,51
AT1G10910,25,16,31,37
AT1G10920,4,3,17,5
AT1G10930,36,37,41,56
AT1G10940,35,20,78,30
AT1G10970,85,122,172,206
AT1G11000,18,12,35,36
AT1G11020,41,39,63,71
AT1G11050,31,33,57,43
AT1G11060,34,47,61,58
AT1G11070,12,3,15,28
AT1G11100,9,1,14,8
AT1G11120,62,60,61,53
AT1G11130,55,54,82,66
AT1G11160,113,64,150,106
AT1G11170,107,78,189,172
AT1G11175,30,15,54,24
AT1G11180,31,24,63,72
AT1G11190,5,2,15,25
AT1G11200,54,28,75,46
AT1G11220,35,41,67,62
AT1G11240,110,87,111,76
AT1G11260,60,137,311,365
AT1G11280,166,153,246,306
AT1G11310,263,293,383,414
AT1G11320,164,146,255,231
AT1G11330,30,17,28,24
AT1G11360,232,228,274,305
AT1G11380,4,5,7,11
AT1G11400,70,40,102,104
AT1G11420,52,55,72,70
AT1G11430,331,259,528,484
AT1G11440,0,0,8,9
AT1G11475,126,151,186,215
AT1G11480,79,84,112,111
AT1G11530,15,11,79,46
AT1G11540,2,1,1,7
AT1G11545,32,21,38,32
AT1G11580,16,35,27,44
AT1G11590,1,8,6,6
AT1G11592,21,11,28,14
AT1G11593,6,2,4,21
AT1G11630,35,24,44,50
AT1G11650,230,179,350,303
AT1G11660,184,139,260,188
AT1G11670,805,605,1080,1010
AT1G11680,138,131,147,169
AT1G11700,9,3,8,1
AT1G11710,12,16,21,19
AT1G11720,79,82,164,181
AT1G11730,4,0,13,7
AT1G11750,132,98,190,192
AT1G11755,9,13,24,26
AT1G11760,30,34,37,31
AT1G11840,2620,1762,3390,2653
AT1G11850,5,5,0,5
AT1G11860,2634,2022,4396,3623
AT1G11870,493,608,740,894
AT1G11880,93,135,124,207
AT1G11890,16,1,22,3
AT1G11900,9,7,14,13
AT1G11905,28,23,36,28
AT1G11930,15,15,51,48
AT1G11950,21,26,28,53
AT1G11960,86,152,88,155
AT1G12000,8769,6481,8120,6900
AT1G12020,23,18,24,27
AT1G12030,0,0,30,8
AT1G12060,13,2,18,9
AT1G12064,168,105,218,158
AT1G12070,24,3,39,0
AT1G12080,12,3,38,52
AT1G12090,5,4,9,14
AT1G12110,31,15,5,3
AT1G12120,41,44,68,55
AT1G12140,22,20,29,29
AT1G12160,15,4,23,6
AT1G12170,2,1,3,7
AT1G12200,11,32,10,51
AT1G12210,39,38,80,57
AT1G12220,7,8,4,13
AT1G12230,464,431,700,679
AT1G12240,5,2,16,13
AT1G12250,74,113,140,185
AT1G12270,61,47,71,73
AT1G12280,4,2,12,10
AT1G12290,3,8,13,9
AT1G12300,57,41,85,51
AT1G12310,106,65,77,90
AT1G12350,17,21,29,58
AT1G12360,80,64,89,110
AT1G12370,235,174,405,263
AT1G12380,48,40,62,52
AT1G12390,34,1,49,1
AT1G12400,77,90,91,112
AT1G12410,1124,1098,1205,1415
AT1G12430,36,42,65,57
AT1G12440,719,421,1299,630
AT1G12460,13,12,19,18
AT1G12470,26,32,30,27
AT1G12520,35,44,120,104
AT1G12530,1,2,9,9
AT1G12550,120,38,150,52
AT1G12570,6,4,2,4
AT1G12580,16,18,26,18
AT1G12600,88,66,100,112
AT1G12610,33,7,35,12
AT1G12620,44,10,76,16
AT1G12640,189,98,314,187
AT1G12650,359,171,497,272
AT1G12680,182,167,209,208
AT1G12700,6,1,6,4
AT1G12710,5,7,19,11
AT1G12730,41,15,46,26
AT1G12740,15,17,26,21
AT1G12750,187,202,308,323
AT1G12760,462,497,842,931
AT1G12770,150,120,184,164
AT1G12775,5,5,2,9
AT1G12780,10,2,38,18
AT1G12790,36,26,79,63
AT1G12800,699,471,1072,810
AT1G12810,53,47,73,103
AT1G12830,69,58,81,102
AT1G12840,267,235,387,374
AT1G12850,174,191,206,225
AT1G12860,365,276,426,396
AT1G12900,475,511,819,908
AT1G12930,22,33,30,43
AT1G12970,48,33,77,61
AT1G12980,3,1,3,4
AT1G12990,16,12,18,16
AT1G13000,1,4,6,8
AT1G13020,6,9,15,19
AT1G13030,41,27,72,73
AT1G13040,11,11,15,11
AT1G13050,23,15,22,21
AT1G13060,254,296,381,414
AT1G13090,1,0,5,11
AT1G13120,33,39,71,68
AT1G13140,7,9,8,13
AT1G13160,73,83,98,106
AT1G13170,118,94,143,145
AT1G13190,56,64,126,134
AT1G13195,12,13,23,25
AT1G13210,62,70,103,109
AT1G13220,79,74,125,123
AT1G13245,23,37,152,194
AT1G13250,28,30,44,54
AT1G13260,24,27,107,55
AT1G13270,537,466,892,713
AT1G13280,296,48,354,79
AT1G13320,104,80,107,88
AT1G13330,8,6,14,11
AT1G13350,22,11,50,9
AT1G13390,195,161,273,218
AT1G13400,7,14,6,21
AT1G13410,94,64,102,82
AT1G13440,8576,7772,12024,11891
AT1G13450,49,39,88,74
AT1G13460,62,37,103,53
AT1G13530,5,10,18,17
AT1G13540,7,4,14,15
AT1G13550,2,0,5,6
AT1G13560,55,61,72,76
AT1G13570,63,46,98,87
AT1G13590,23,9,30,18
AT1G13620,6,5,6,18
AT1G13640,96,148,206,235
AT1G13690,113,99,126,130
AT1G13700,2,2,11,1
AT1G13710,55,69,120,118
AT1G13740,51,73,95,120
AT1G13750,13,13,9,13
AT1G13755,4,1,7,15
AT1G13780,38,18,68,34
AT1G13790,21,22,31,28
AT1G13800,7,2,9,5
AT1G13810,19,10,19,35
AT1G13820,24,48,53,72
AT1G13860,14,11,18,17
AT1G13870,101,103,147,139
AT1G13880,186,149,241,270
AT1G13900,16,32,26,35
AT1G13910,11,9,19,28
AT1G13930,7,1,25,4
AT1G13940,43,48,52,57
AT1G13970,11,3,7,18
AT1G13980,95,70,121,100
AT1G13990,1,5,6,6
AT1G14000,49,26,66,64
AT1G14010,31,48,38,63
AT1G14020,80,68,108,98
AT1G14030,431,282,647,451
AT1G14040,30,29,32,48
AT1G14060,131,50,117,44
AT1G14070,4,4,2,4
AT1G14080,2,2,16,6
AT1G14130,60,51,86,96
AT1G14140,27,28,44,32
AT1G14170,12,8,21,7
AT1G14230,9,6,10,15
AT1G14260,8,13,17,22
AT1G14270,17,21,61,36
AT1G14290,26,21,35,46
AT1G14310,63,55,99,66
AT1G14320,877,1034,1443,1607
AT1G14330,10,26,29,22
AT1G14345,5,1,18,5
AT1G14350,12,11,14,10
AT1G14360,85,40,121,48
AT1G14370,4,5,9,8
AT1G14380,53,55,65,66
AT1G14390,5,22,9,24
AT1G14400,237,183,305,281
AT1G14410,178,206,263,246
AT1G14430,9,9,10,7
AT1G14440,2,2,5,8
AT1G14450,201,182,212,188
AT1G14510,36,35,57,65
AT1G14520,8,0,0,35
AT1G14530,19,13,25,24
AT1G14560,24,20,31,36
AT1G14570,476,481,608,709
AT1G14580,62,45,66,104
AT1G14590,28,16,30,35
AT1G14610,445,375,586,608
AT1G14620,69,81,80,113
AT1G14630,10,3,12,9
AT1G14640,10,10,21,16
AT1G14650,801,643,1134,982
AT1G14660,49,22,91,32
AT1G14670,207,247,256,280
AT1G14680,5,3,16,6
AT1G14685,149,93,196,155
AT1G14687,119,114,233,216
AT1G14690,479,389,722,586
AT1G14710,96,95,121,131
AT1G14720,2,4,23,34
AT1G14740,113,124,190,220
AT1G14755,0,5,4,11
AT1G14760,71,82,74,95
AT1G14770,4,11,13,13
AT1G14790,11,3,5,8
AT1G14830,1,6,20,14
AT1G14840,33,22,37,44
AT1G14850,103,127,110,107
AT1G14910,35,17,55,27
AT1G14920,130,189,204,255
AT1G14970,44,27,73,55
AT1G14980,974,1011,1191,1320
AT1G15000,30,26,44,43
AT1G15010,12,17,16,22
AT1G15020,31,33,59,49
AT1G15030,126,93,199,162
AT1G15040,1,3,16,17
AT1G15060,72,46,94,86
AT1G15100,11,5,12,14
AT1G15130,13,3,24,13
AT1G15140,1,6,0,6
AT1G15150,28,24,34,29
AT1G15165,8,4,17,17
AT1G15175,4,1,8,2
AT1G15180,26,9,67,30
AT1G15190,6,7,8,11
AT1G15200,160,184,208,268
AT1G15210,41,15,98,48
AT1G15215,9,11,16,15
AT1G15220,29,12,19,19
AT1G15230,10,5,19,14
AT1G15240,73,69,105,134
AT1G15250,416,241,313,193
AT1G15260,66,1,102,6
AT1G15270,34,44,41,30
